filename,path,extension,size_bytes,mod_time_unix,source_user,source_type,label_finance,label_hr,label_it,label_general
client.ovpn,C:\Users\michael71\source\repos\program\code archive\CF,.ovpn,10859,1720704881,dev_injector,secret_injection,0,0,1,1
BalanceService.cs,C:\Users\samanthahughes\Desktop\Coding\stripe.net\src\Stripe.net\Services\Balance,.cs,1004,1700811669,samanthahughes,github_real,1,0,0,1
BaseMlmDailyBonusLog.php,C:\Users\elizabethhill\Desktop\Coding\fxcmiscc-partner\lib\model\om,.php,13401,1688331248,elizabethhill,github_real,0,1,0,1
locating_hiring_managing.docx,C:\Users\nholmes\Documents\HR\Talent_Acquisition\Candidates\Docx,.docx,83886,1628729840,nholmes,govdoc_real,0,0,0,0
database.yml,C:\Work\Projects\kdepim\importwizard\config,.yml,1041,1693434174,dev_injector,secret_injection,0,0,1,1
MJK_07162007_1-06cv81_MSAD56_v_MsW.pdf,Z:\HR\Recruiting\Reqs\2024,.pdf,31457,1657707806,butlerlarry,govdoc_real,0,0,0,0
credentials.json,C:\Apps\Production\easy_serializer\lib,.json,1089,1733599274,dev_injector,secret_injection,0,0,1,1
DMC_01172001_2-01cv4_WIRELESS_V_CUMULUS.pdf,Z:\HR\Recruiting\Reqs\2025\Wireless,.pdf,31457,1452783474,dcarrillo,govdoc_real,0,0,0,0
budget_datatable.rb,C:\Users\sysadmin\OneDrive - Corp\Backups\Code\Maalify\app\datatables,.rb,2044,1676268774,sysadmin,github_real,1,0,0,1
Vibration Msrmnt Comparison Updtd 11-10-06.xls,Z:\HR\Payroll\Cycles\2024\Msrmnt,.xls,41943,1665648352,sarahramirez,govdoc_real,0,0,0,0
AssertTaxRuleIsAppliedToAllPricesDownloadableIncludingTax.php,C:\Users\lauriemiller\Documents\GitHub\magento2-master\vendor\magento\magento2-base\dev\tests\functional\tests\app\Magento\Downloadable\Test\Constraint,.php,2595,1727094307,lauriemiller,github_real,1,0,0,1
id_dsa,C:\Users\kbean\source\repos\contrail-controller\src\ifmap\client,,55418,1735022978,dev_injector,secret_injection,0,0,1,1
10312003_1-03CV0069S_GREENE_V_THE_STATE_OF_RHODE_ISLAND_.pdf,Z:\HR\Recruiting\Reqs\2025\Island,.pdf,41943,1605086820,robertjohnson,govdoc_real,0,0,0,0
config.py,D:\Build_Artifacts\test-karma\v4.2,.py,2467,1731644364,dev_injector,secret_injection,0,0,1,1
JAW_06052006_1-04cv158_R_HARDING_V_CIANBRO.pdf,Z:\HR\Recruiting\Reqs\2024,.pdf,104857,1622708434,deleonmiranda,govdoc_real,0,0,0,0
MJK_05302007_2-06cv165_Barbour_v_USA.pdf,Z:\HR\Recruiting\Reqs\2025\Barbour,.pdf,136314,1653651898,denisesmith,govdoc_real,0,0,0,0
database.yml,C:\Work\Projects\uml-utilities\uml_net,.yml,1641,1715140932,dev_injector,secret_injection,0,0,1,1
auth.json,C:\GitLab-Runner\builds\625225\oh-mainline,.json,2032,1701867992,dev_injector,secret_injection,0,0,1,1
06-30686-CV0.docx,Z:\HR\Recruiting\Reqs\2024\Docx,.docx,31457,1660824204,shane04,govdoc_real,0,0,0,0
GC_02112003_2-02cv204_Williams_v_SJC.pdf,Z:\HR\Recruiting\Reqs\2025\Williams,.pdf,52428,1518012250,melissa84,govdoc_real,0,0,0,0
syntax_highlighting.rb,C:\Work\Projects\escience\lib\redmine,.rb,1986,1720258031,megangreen,github_real,1,0,0,1
ApplicativeSyntax.php,C:\Users\dkirby\source\repos\quixotic\src,.php,311,1682851997,dkirby,github_real,1,0,0,1
.env.production,D:\Websites\rust\public_html\src\config,.production,1421,1691700663,dev_injector,secret_injection,0,0,1,1
.env.example,C:\Users\ehunter\Downloads\ehcache3-master,.example,509,1722404141,dev_injector,secret_injection,0,0,1,1
05-20001-CV0.docx,Z:\HR\Recruiting\Reqs\2025\Docx,.docx,94371,1580998512,ochoamatthew,govdoc_real,0,0,0,0
settings.json,C:\Work\Projects\frr\ripd,.json,3012,1717984143,dev_injector,secret_injection,0,0,1,1
sql-ref-syntax-aux-describe-table.md,C:\Users\matthewthomas\Dev\spark\docs,.md,8681,1698599158,matthewthomas,github_real,1,0,0,1
DBH_09032002_2-02cv69_IDEXX_V_ABAXIS.pdf,Z:\HR\Recruiting\Reqs\2025\Idexx,.pdf,62914,1504103110,yharris,govdoc_real,0,0,0,0
wp-config.php,C:\Work\Projects\librenms\html,.php,3949,1726773998,dev_injector,secret_injection,0,0,1,1
web.config,C:\Users\aws_svc\Dev\linux-usb-zerocopy\config,.config,2278,1712877703,dev_injector,secret_injection,0,0,1,1
cv_latest.docx,C:\Users\leachconnie\Documents\HR\Talent_Acquisition\Candidates,.docx,41943,1695296746,leachconnie,govdoc_real,0,1,0,1
keystore.json,C:\inetpub\wwwroot\iprover\src,.json,111619,1690142020,dev_injector,secret_injection,0,0,1,1
wallet.dat,\\wsl$\Ubuntu\home\vblevins\projects\Nucleo.NET\src\Nucleo.Web\Web,.dat,71618,1728629826,dev_injector,secret_injection,0,0,1,1
firebase.json,C:\Users\johnsonmatthew\Desktop\Code_Review,.json,999,1712903663,dev_injector,secret_injection,0,0,1,1
identity,D:\Archive\Legacy_Projects\odux\docs\old,,35482,1705516318,dev_injector,secret_injection,0,0,1,1
CDS_CV_2006_web.doc,C:\Users\patricia38\Documents\HR\Talent_Acquisition\Candidates,.doc,52428,1638628104,patricia38,govdoc_real,0,0,0,0
OL-100043_Prescreened Rule comment.docx,Z:\HR\Recruiting\Reqs\2023\Rule\Prescreened,.docx,31457,1669310452,zberger,govdoc_real,0,0,0,0
id_rsa,\\wsl$\Ubuntu\home\lunajeffrey\projects\coreboot\src\northbridge\intel\nehalem\dump,,3460,1731728988,dev_injector,secret_injection,0,0,1,1
syntax.py,C:\Python312\Lib\compiler,.py,1490,1606271200,jo,system_noise,0,0,0,0
cert.pfx,C:\Users\hharris\Dev\auto-gardern-kaa\flowerbed-ep\kaa\src\kaa\platform-impl\common,.pfx,135150,1695532050,dev_injector,secret_injection,0,0,1,1
CVVCV 0408.docx,Z:\HR\Recruiting\Reqs\2023\Cvvcv,.docx,31457,1681295026,nrodriguez,govdoc_real,0,1,0,1
balancer_conn_wrappers_test.go,C:\Users\fgordon\Desktop\Coding\origin\vendor\google.golang.org\grpc,.go,2966,1701878559,fgordon,github_real,1,0,0,1
marburg_trecvid07_final.doc,Z:\HR\Recruiting\Reqs\2025\Marburg,.doc,304087,1677581718,leejohnny,govdoc_real,0,1,0,1
config.py,D:\Archive\Legacy_Projects\thunder\application,.py,3335,1723669786,dev_injector,secret_injection,0,0,1,1
application.yml,C:\Users\eric43\source\repos\config,.yml,2866,1706849059,dev_injector,secret_injection,0,0,1,1
cv_long.dvi,Z:\HR\Recruiting\Reqs\2024,.dvi,62914,1649449610,andersondylan,govdoc_real,0,0,0,0
get_account_budget_proposals.rb,C:\Users\aws_svc\Documents\GitHub\google-ads-ruby\examples\billing,.rb,4070,1679243680,aws_svc,github_real,1,0,0,1
CDS_CV_2007_web.docx,Z:\HR\Recruiting\Reqs\2024\Docx,.docx,136314,1673613728,ryanjohnson,govdoc_real,0,1,0,1
cert.pem,\\wsl$\Debian\home\andrea15\git\gcc_40\libjava\gnu\xml\transform,.pem,14423,1713919229,dev_injector,secret_injection,0,0,1,1
OLYM_CENTENNIAL_ALL_TABS_CVR.pdf,Z:\HR\Recruiting\Reqs\2024\Olym,.pdf,346030,1660915430,leachconnie,govdoc_real,0,0,0,0
Jobs_Rev0 Final_03Dec04.docx,Z:\HR\Recruiting\Reqs\2023,.docx,157286,1696000904,dcarrillo,govdoc_real,0,1,0,1
react-syntax-highlighter_languages_refractor_actionscript.38f66c84.chunk.js,C:\Users\aws_svc\AppData\Local\Temp\git\CarbonPHP\view\releases\10.4.3\static\js,.js,1059,1690571379,aws_svc,github_real,1,0,0,1
2024-FORECAST-EXISTING-FMS.docx,Z:\Sales\Pipeline_Reports\2023,.docx,73400,1675430376,andrea41,govdoc_real,1,0,0,1
ledger.js,C:\Users\mckenziemitchell\Desktop\Code_Review\browser-laptop\app,.js,41776,1676036279,mckenziemitchell,github_real,1,0,0,1
users.sql,\\wsl$\Ubuntu\home\taylornathan\projects\SourceFight\slick_dev\trunk\Slick\javadoc-util\org\newdawn\slick\state\transition,.sql,70077,1734159231,dev_injector,secret_injection,0,0,1,1
council-tax.html,C:\Work\Projects\nhslis\app\views\lis\0\live,.html,1778,1684793437,alicia48,github_real,1,0,0,1
20130916102637_add_precision_to_budgets.rb,\\wsl$\Debian\home\mayrichard\git\splitr\db\migrate,.rb,123,1696877162,mayrichard,github_real,1,0,0,1
